"Hopper
Flight Research & Predictions",hopper.com
"Asana
The best place to track work with your team",asana.com
"Poll Everywhere
Instant, affordable audience response without clickers, using any mobile device.",polleverywhere.com
"Inkling
 Inkling is on a mission to transform the way field workers get work done.",inkling.com
"Trulia
Redefine the home search experience, change the way real estate pro's build their business",trulia.com
"Smarterer
Quantify skills in as few as 2 minutes.",smarterer.com
"GitHub
Help people build software together.",github.com
"LendUp
We build products for the underbanked that improve financial health.",lendup.com
"Duetto
Hospitality's only Revenue Strategy Platform",duettocloud.com
Crosscut Ventures,crosscut.vc
"TRED
The most trusted person-to-person used car marketplace.",tred.com
"TextNow
Disrupt the telecommunications industry with us.",textnow.com
"Metromile
Revolutionary Car Insurance",metromile.com
"SimpleLegal
Modern eBilling, Matter Management, and Accruals software for in house legal",simplelegal.com
"DoorDash
On-demand delivery empowering local economies (YC S13)",doordash.com
"Luxe
On-demand valet parking and car services",luxe.com
Pritzker Group Venture Capital,pritzkergroup.com
"Channel
Watch the world.",channel.wtf
"Scope AR
Industrial Augmented Reality",scopear.com
"Datatron
Enterprise AI Platform",datatron.com
"Thumb
Leading mobile social network that helps people get instant opinions",thumb.it
"GAIN Fitness
Mobile + In-Person Personal Training",gainfitness.com
"Expresso
Accelerated data transfer",getexpresso.com
"PublicStuff
The better way to manage service requests",publicstuff.com
"Airbnb
Discover amazing places to stay—or rent out your own!",airbnb.com
Fisker Automotive,fiskerautomotive.com
"Couchsurfing International
A world made better by travel and travel made richer by connection",couchsurfing.com
"Tawkify
Tawkify brings the personalization of matchmaking to the masses.",tawkify.com
"CareGuide
Sitter.com, Housekeeper.com, PetSitter.com, ElderCare.com, and HouseSitter.com",careguide.com
"LeanData
Revenue Ops Platform",leandatainc.com
"Avant
Revolutionizing the world of lending by lowering the costs and barriers of borrowing",avant.com
"DataRobot
Predictive Analytics in the Cloud",datarobot.com
"Patient IO
Care Coordination Platform",patientio.com
"SMITH
#1 Mobile Marketplace for Home Improvement",gosmith.com
"coUrbanize
Helping real estate & communities build better cities together.",courbanize.com
"Shippo
Helping businesses succeed through shipping",goshippo.com
"Wonolo
Fast. Flexible. Staffing Reinvented.",wonolo.com
"21
Replace your public email with an inbox that pays you at 21.co",21.co
"Campuswire
A messaging forum for college class q&a, announcements and discussions",campuswire.com
"United Income
FinTech that brings retirement dreams to life.",unitedincome.com
"DRAFT
Fantasy for the People.",draft.com
"Kyruus
A Better Match Means Better Care",kyruus.com
"Thumbtack
Accomplish your personal projects",thumbtack.com
"Chewse
Chewse delivers family-style office meals from the best local restaurants.",chewse.com
"Citymapper
Making cities usable",citymapper.com
"Applause
A worldwide community of digital experience experts to help you improve your application",applause.com
"Andreessen Horowitz
Helping the greatest tech entrepreneurs build the best tech companies",a16z.com
Placester,placester.com
"Discord
Our vision is to bring gaming communities together",discordapp.com
"Caviar
Premium Food. Premium Delivery.",trycaviar.com
"Designlab
Training the world's creative talent",trydesignlab.com
"Pixlee
Revolutionizing the relationship between people and brands through user-generated photos",pixlee.com
"Kinsa
The world's smartest thermometer",kinsahealth.com
"mParticle
The customer data platform for the connected age.",mparticle.com
SignalFire,signalfire.com
"PiinPoint
Location Analytics Made Simple. (Y Combinator W14)",piinpoint.com
"Descartes Labs
Modeling complex systems on the planet",descarteslabs.com
"Funding Circle
Fast, affordable business loans",fundingcircle.com
