Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
OptimalSocial,https://angel.co/company/optimal,,Aug ’11,San Francisco,Advertising Platforms,optimalsocial.com,,Series B,"$47,100,000"
HappyCo,https://angel.co/company/happyco,Adelaide,Property Management,happy.co,11-50,Series A,"$10,695,000",,Jun ’12
Boston Heart Diagnostics,https://angel.co/company/boston-heart-diagnostics-1,bostonheartdiagnostics.com,201-500,Acquired,"$10,286,000",,Nov ’14,London,Hotels
onefinestay,https://angel.co/company/onefinestay,Acquired,"$80,900,000",,Apr ’12,Mountain View,Consulting,ycombinator.com,11-50
Y Combinator,https://angel.co/company/y-combinator,,Jan ’12,San Francisco,Software,terracotta.org,-,-,"$29,000,000"
Terracotta,https://angel.co/company/terracotta,-,-,,,-,-,,Dec ’12
Disney,https://angel.co/company/disney,noredink.com,51-200,Series A,"$8,000,000",,Apr ’13,Emeryville,Furniture
NoRedink,https://angel.co/company/noredink,Seed,"$3,000,000",,Oct ’13,New York City,Robotics,autonomous.ai,11-50
Campaign,https://angel.co/company/campaign,,Jun ’13,Taiwan,Social Recruiting,codementor.io,11-50,,"$2,200,000"
Autonomous,https://angel.co/company/autonomousdotai,San Francisco,Consumer Electronics,bluesmart.com,11-50,,"$1,044,766",,Sep ’16
Codementor,https://angel.co/company/codementor,vulcun.com,-,Series A,"$12,000,000",,Mar ’17,San Francisco,Speech Recognition
Bluesmart,https://angel.co/company/bluesmart,Acquired,-,,Jan ’17,Los Angeles,Mobile Commerce,shophush.com,51-200
Vulcun,https://angel.co/company/vulcun-2,,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
Tetra (YC W17),https://angel.co/company/tetra,Lisbon,Mobile Commerce,magnarapp.com,-,-,-,,Jan ’17
Hush,https://angel.co/company/hush-10,princetonventures.com,1-10,-,-,,Jan ’17,Beijing,TV Production
Subdream Studios,https://angel.co/company/subdream-studios,-,-,,Jan ’17,San Francisco,SaaS,kylie.ai,11-50
Magnar,https://angel.co/company/magnar,,Dec ’14,San Francisco,Optimization,boostmedia.com,51-200,Series C,"$29,950,000"
Princeton Ventures,https://angel.co/company/princeton-ventures,San Francisco,Mobile Advertising,chartboost.com,51-200,Series B,"$21,000,000",,Mar ’11
hulu - Beijing,https://angel.co/company/hulu-beijing,watersmart.com,11-50,Series B,"$13,900,000",,Dec ’11,Boston,SaaS
Kylie.ai,https://angel.co/company/kylieai,-,-,,Nov ’12,San Francisco,Web Development,heroku.com,201-500
Boost Media,https://angel.co/company/boost-media,,Jul ’12,Washington DC,Networking,livingsocial.com,-,Acquired,"$934,700,000"
Chartboost,https://angel.co/company/chartboost,Palo Alto,Mobile Health,healthtap.com,51-200,-,"$38,250,000",,Jan ’12
WaterSmart Software,https://angel.co/company/watersmart-software,accomplice.co,11-50,-,-,,Dec ’12,San Francisco,Crowdfunding
OpenView Venture Partners,https://angel.co/company/openview-venture-partners,Series C,"$53,000,000",,Jan ’12,New York City,Productivity Software,dispatch.io,1-10
Heroku,https://angel.co/company/heroku,,Jan ’12,Menlo Park,E-Commerce,alphaclub.org,-,-,-
LivingSocial,https://angel.co/company/livingsocial,San Francisco,Mobile Payments,coinbase.com,501-1000,Series D,"$205,600,000",,Mar ’13
HealthTap,https://angel.co/company/healthtap,captureproof.com,1-10,-,-,,Feb ’13,Portland,Crowdfunding
Accomplice,https://angel.co/company/fka,Series A,"$4,850,000",,Apr ’13,San Francisco,Social News,inside.com,11-50
CircleUp,https://angel.co/company/circleup,,May ’13,San Francisco,Unifed Communications,truly.co,11-50,-,-
Dispatch,https://angel.co/company/dispatch,-,-,-,-,,"$86,000,000",,Oct ’14
Alpha,https://angel.co/company/alpha-2,getFinal.com,11-50,Acquired,"$1,000,000",,Sep ’14,San Francisco,Messaging
