Company,Tagline,Joined,Location,Market,Website,Employees,Stage,Total Raised
Sunshine,For the modern individuals who crave wellness and the inspiration to live a healthier life,Mar ’11,San Francisco,Sensors,thesunshine.co,1-10,Seed,"$3,940,000"
OptimalSocial,,Ads+Social Analytics in a SaaS Model,Aug ’11,San Francisco,Advertising Platforms,optimalsocial.com,Series B,"$47,100,000"
CircleCI,Continuous Integration and Deployment,Sep ’12,San Francisco,Developer Tools,circleci.com,201-500,Series D,"$112,500,000"
Boston Heart Diagnostics,,Jun ’12,Framingham,Health and Wellness,bostonheartdiagnostics.com,201-500,Acquired,"$10,286,000"
onefinestay,Pioneers of handmade hospitality,Nov ’14,London,Hotels,onefinestay.com,51-200,Acquired,"$80,900,000"
Terracotta,,Jan ’12,San Francisco,Software,terracotta.org,-,-,"$29,000,000"
Disney,,Jan ’12,-,-,-,-,,
NoRedink,Adaptive learning tool that helps students improve their grammar/writing skills.,Dec ’12,San Francisco,K-12 Education,noredink.com,51-200,Series A,"$8,000,000"
Campaign,A vertically integrated online furniture brand.,Apr ’13,Emeryville,Furniture,Angel.co,1-10,Seed,"$3,000,000"
Codementor,,Live 1:1 help from expert developers,Jun ’13,Taiwan,Social Recruiting,codementor.io,11-50,"$2,200,000"
Bluesmart,,World's first smart connected luggage.,Jan ’15,San Francisco,Consumer Electronics,bluesmart.com,11-50,"$1,044,766"
Marble,Robot deliveries to your doorstep,Nov ’15,San Francisco,Robotics,marble.io,11-50,Series A,"$10,000,000"
Tetra (YC W17),AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,Acquired,-
Hush,"Starting with the beauty vertical, Hush is a network of video-based interest communities.",Jan ’17,Los Angeles,Mobile Commerce,shophush.com,51-200,Seed,"$2,000,000"
Subdream Studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
Magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
