Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
OptimalSocial,https://angel.co/company/optimal,,Aug ’11,San Francisco,Advertising Platforms,optimalsocial.com,,Series B,"$47,100,000"
HappyCo,https://angel.co/company/happyco,,,,,,,,
Boston Heart Diagnostics,https://angel.co/company/boston-heart-diagnostics-1,Adelaide,Property Management,happy.co,11-50,Series A,"$10,695,000",,Jun ’12
onefinestay,https://angel.co/company/onefinestay,,,,,,,,
Y Combinator,https://angel.co/company/y-combinator,bostonheartdiagnostics.com,201-500,Acquired,"$10,286,000",,Nov ’14,London,Hotels
Terracotta,https://angel.co/company/terracotta,,,,,,,,
Disney,https://angel.co/company/disney,Acquired,"$80,900,000",,Apr ’12,Mountain View,Consulting,ycombinator.com,11-50
NoRedink,https://angel.co/company/noredink,,,,,,,,
Campaign,https://angel.co/company/campaign,,Jan ’12,San Francisco,Software,terracotta.org,-,-,"$29,000,000"
Autonomous,https://angel.co/company/autonomousdotai,,,,,,,,
Codementor,https://angel.co/company/codementor,-,-,,,-,-,,Dec ’12
Bluesmart,https://angel.co/company/bluesmart,,,,,,,,
Vulcun,https://angel.co/company/vulcun-2,noredink.com,51-200,Series A,"$8,000,000",,Apr ’13,Emeryville,Furniture
Tetra (YC W17),https://angel.co/company/tetra,,,,,,,,
Hush,https://angel.co/company/hush-10,Seed,"$3,000,000",,Oct ’13,New York City,Robotics,autonomous.ai,11-50
Subdream Studios,https://angel.co/company/subdream-studios,,,,,,,,
Magnar,https://angel.co/company/magnar,,Jun ’13,Taiwan,Social Recruiting,codementor.io,11-50,,"$2,200,000"
Princeton Ventures,https://angel.co/company/princeton-ventures,,,,,,,,
hulu - Beijing,https://angel.co/company/hulu-beijing,San Francisco,Consumer Electronics,bluesmart.com,11-50,,"$1,044,766",,Sep ’16
Kylie.ai,https://angel.co/company/kylieai,,,,,,,,
Boost Media,https://angel.co/company/boost-media,vulcun.com,-,Series A,"$12,000,000",,Mar ’17,San Francisco,Speech Recognition
Chartboost,https://angel.co/company/chartboost,,,,,,,,
WaterSmart Software,https://angel.co/company/watersmart-software,Acquired,-,,Jan ’17,Los Angeles,Mobile Commerce,shophush.com,51-200
OpenView Venture Partners,https://angel.co/company/openview-venture-partners,,,,,,,,
Heroku,https://angel.co/company/heroku,,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
LivingSocial,https://angel.co/company/livingsocial,,,,,,,,
HealthTap,https://angel.co/company/healthtap,Lisbon,Mobile Commerce,magnarapp.com,-,-,-,,Jan ’17
Accomplice,https://angel.co/company/fka,,,,,,,,
CircleUp,https://angel.co/company/circleup,princetonventures.com,1-10,-,-,,Jan ’17,Beijing,TV Production
Dispatch,https://angel.co/company/dispatch,,,,,,,,
Alpha,https://angel.co/company/alpha-2,-,-,,Jan ’17,San Francisco,SaaS,kylie.ai,11-50
Coinbase,https://angel.co/company/coinbase,,,,,,,,
captureproof,https://angel.co/company/captureproof,,Dec ’14,San Francisco,Optimization,boostmedia.com,51-200,Series C,"$29,950,000"
CrowdStreet,https://angel.co/company/crowdstreet,,,,,,,,
Inside.com,https://angel.co/company/inside-com-1,San Francisco,Mobile Advertising,chartboost.com,51-200,Series B,"$21,000,000",,Mar ’11
Truly,https://angel.co/company/trulywireless,,,,,,,,
bigbasket.com,https://angel.co/company/bigbasket-com,watersmart.com,11-50,Series B,"$13,900,000",,Dec ’11,Boston,SaaS
Final,https://angel.co/company/final,,,,,,,,
Disco,https://angel.co/company/trydisco,-,-,,Nov ’12,San Francisco,Web Development,heroku.com,201-500
Yoshi,https://angel.co/company/startyoshi,,,,,,,,
"Stitch, Inc.",https://angel.co/company/rjmetrics,,Jul ’12,Washington DC,Networking,livingsocial.com,-,Acquired,"$934,700,000"
Zazzle,https://angel.co/company/zazzle,,,,,,,,
Carbon Black,https://angel.co/company/carbonblack,Palo Alto,Mobile Health,healthtap.com,51-200,-,"$38,250,000",,Jan ’12
Moz,https://angel.co/company/moz,,,,,,,,
Warby Parker,https://angel.co/company/warby-parker,accomplice.co,11-50,-,-,,Dec ’12,San Francisco,Crowdfunding
The Motley Fool,https://angel.co/company/the-motley-fool,,,,,,,,
Nimble Storage,https://angel.co/company/nimble-storage,Series C,"$53,000,000",,Jan ’12,New York City,Productivity Software,dispatch.io,1-10
AppNeta,https://angel.co/company/appneta,,,,,,,,
Ohana,https://angel.co/company/ohana,,Jan ’12,Menlo Park,E-Commerce,alphaclub.org,-,-,-
Vend,https://angel.co/company/vend,,,,,,,,
SyncOnSet Technologies,https://angel.co/company/synconset,San Francisco,Mobile Payments,coinbase.com,501-1000,Series D,"$205,600,000",,Mar ’13
Thalmic Labs,https://angel.co/company/thalmiclabs,,,,,,,,
Revel Systems,https://angel.co/company/revel-systems,captureproof.com,1-10,-,-,,Feb ’13,Portland,Crowdfunding
Quad,https://angel.co/company/quad,,,,,,,,
coUrbanize,https://angel.co/company/courbanize,Series A,"$4,850,000",,Apr ’13,San Francisco,Social News,inside.com,11-50
Robinhood,https://angel.co/company/robinhood,,,,,,,,
Luxe,https://angel.co/company/luxe-1,,May ’13,San Francisco,Unifed Communications,truly.co,11-50,-,-
Terminal.com,https://angel.co/company/terminal-com,,,,,,,,
OneSignal,https://angel.co/company/onesignal,-,-,-,-,,"$86,000,000",,Oct ’14
Brave,https://angel.co/company/brave,,,,,,,,
Leap Motion,https://angel.co/company/leap-motion,getFinal.com,11-50,Acquired,"$1,000,000",,Sep ’14,San Francisco,Messaging
Vungle,https://angel.co/company/vungle,,,,,,,,
Kyruus,https://angel.co/company/kyruus,Seed,"$2,000,000",,Sep ’16,San Francisco,Business Services,startyoshi.com,11-50
NewCo,https://angel.co/company/newco,,,,,,,,
Automattic,https://angel.co/company/automattic,,Jan ’13,Philadelphia,Data Integration,stitchdata.com,11-50,Series B,"$22,700,000"
Crunchyroll,https://angel.co/company/crunchyroll,,,,,,,,
Factual,https://angel.co/company/factual,Redwood City,Print On Demand,zazzle.com,201-500,Series B,"$46,000,000",,Feb ’14
EnergySavvy,https://angel.co/company/energysavvy,,,,,,,,
Terrafugia,https://angel.co/company/terrafugia,carbonblack.com,1001-5000,-,"$123,150,000",,Oct ’13,Seattle,Semantic Search
Fastly,https://angel.co/company/fastly,,,,,,,,
Kobalt,https://angel.co/company/kobalt,Series C,"$29,250,000",,Mar ’12,New York City,Technology,warbyparker.com,1001-5000
LAUNCH,https://angel.co/company/launch,,,,,,,,
Fluent,https://angel.co/company/fluent,,Feb ’14,Alexandria Governorate,Finance,fool.com,-,,"$25,000,000"
SmartShoot,https://angel.co/company/smartshoot,,,,,,,,
Quill Content,https://angel.co/company/quill-content,San Jose,Flash Storage,nimblestorage.com,-,IPO,"$98,800,000",,Jun ’14
Propeller,https://angel.co/company/propeller-2,,,,,,,,
Sapho,https://angel.co/company/sapho,appneta.com,51-200,-,"$39,800,000",,Mar ’12,Redwood City,Photo Sharing
MileIQ,https://angel.co/company/mileiq,,,,,,,,
Reach Labs,https://angel.co/company/reach-labs,Acquired,"$100,000",,Mar ’12,San Francisco,Retail Technology,vendhq.com,201-500
Pilot AI,https://angel.co/company/pilot-ai-labs,,,,,,,,
Splash,https://angel.co/company/splash-7,,Oct ’12,Boston,Film Production,synconset.com,11-50,Seed,"$5,500,000"
Nexmo,https://angel.co/company/nexmo,,,,,,,,
Tilt,https://angel.co/company/tilt,Waterloo,Consumer Electronics,thalmic.com,51-200,,"$135,600,000",,Dec ’12
Zaarly,https://angel.co/company/zaarly,,,,,,,,
Resonate,https://angel.co/company/resonate-3,revelsystems.com,201-500,Series C,"$127,300,000",,Mar ’13,San Francisco,Productivity Software
TokBox,https://angel.co/company/tokbox,,,,,,,,
Trinity Ventures,https://angel.co/company/trinity-ventures,Seed,"$650,000",,May ’13,Boston,SaaS,courbanize.com,11-50
Lightbank,https://angel.co/company/lightbank,,,,,,,,
GoCardless,https://angel.co/company/gocardless,,Jul ’13,Palo Alto,Personal Finance,robinhood.com,51-200,Series D,"$539,000,000"
EasyPost,https://angel.co/company/easypost,,,,,,,,
SilverPush,https://angel.co/company/silverpush,San Francisco,Parking,luxe.com,51-200,Acquired,"$75,500,000",,Oct ’14
ClearTax,https://angel.co/company/cleartax,,,,,,,,
AlienVault,https://angel.co/company/alienvault,terminal.com,11-50,-,-,,Apr ’15,San Mateo,Advertising Platforms
Immunity Project,https://angel.co/company/immunity-project,,,,,,,,
Lookup,https://angel.co/company/lookupto,Series B,"$34,470,000",,Jul ’16,San Francisco,Web Browsers,brave.com,51-200
Funding Circle,https://angel.co/company/funding-circle,,,,,,,,
hackajob,https://angel.co/company/hackajob,,Mar ’11,San Francisco,Augmented Reality,leapmotion.com,11-50,Series C,"$129,050,000"
wefox,https://angel.co/company/wefox,,,,,,,,
Islands,https://angel.co/company/islands,San Francisco,Mobile Advertising,vungle.com,51-200,Acquired,"$775,500,000",,Jun ’13
Automatic Labs,https://angel.co/company/automatic-labs,,,,,,,,
Catchpoint,https://angel.co/company/catchpoint,kyruus.com,51-200,Series C,"$41,500,000",,Jan ’12,San Francisco,B2B
Iron.io,https://angel.co/company/iron,,,,,,,,
Sparkcentral,https://angel.co/company/sparkcentral,-,-,,Apr ’12,San Francisco,Forums,automattic.com,501-1000
Demandbase,https://angel.co/company/demandbase,,,,,,,,
